    length     expanded size   cdr  WAVE  probs   filename
     7:42.42      81595628     ---   --    -xx    gd87-07-10d1t101.shn
     5:55.28      62687900     ---   --    -xx    gd87-07-10d1t102.shn
     8:23.34      88809212     ---   --    -xx    gd87-07-10d1t103.shn
     7:55.40      83884124     ---   --    -xx    gd87-07-10d1t104.shn
     7:03.63      74765420     ---   --    -xx    gd87-07-10d1t105.shn
     6:26.26      68151596     ---   --    -xx    gd87-07-10d1t106.shn
     5:45.00      60858044     ---   --    -xx    gd87-07-10d1t107.shn
     7:53.61      83580716     ---   --    -xx    gd87-07-10d1t108.shn
    11:18.28     119665100     ---   --    -xx    gd87-07-10d1t109.shn
     8:09.09      86279964     -b-   --    -xx    gd87-07-10d1t110.shn
    10:34.40     111931724     ---   --    -xx    gd87-07-10d2t101.shn
    13:35.27     143829548     ---   --    -xx    gd87-07-10d2t102.shn
     5:15.02      55570748     ---   --    -xx    gd87-07-10d2t103.shn
     7:43.71      81840236     ---   --    -xx    gd87-07-10d2t104.shn
     4:15.57      45116108     ---   --    -xx    gd87-07-10d2t105.shn
     4:38.35      49121564     ---   --    -xx    gd87-07-10d2t106.shn
     5:28.49      57974492     ---   --    -xx    gd87-07-10d2t107.shn
     5:11.45      54966284     ---   --    -xx    gd87-07-10d2t108.shn
     4:42.49      49860092     ---   --    -xx    gd87-07-10d2t109.shn
     5:09.42      54606492     -b-   --    -xx    gd87-07-10d2t110.shn
     6:13.21      65846636     ---   --    -xx    gd87-07-10d3t101.shn
     5:59.02      63332348     ---   --    -xx    gd87-07-10d3t102.shn
     5:02.29      53341052     ---   --    -xx    gd87-07-10d3t103.shn
     6:40.06      70574156     ---   --    -xx    gd87-07-10d3t104.shn
     5:46.61      61177916     ---   --    -xx    gd87-07-10d3t105.shn
     5:27.39      57774572     ---   --    -xx    gd87-07-10d3t106.shn
     9:30.21     100597436     ---   --    -xx    gd87-07-10d3t107.shn
     5:35.65      59246924     ---   --    -xx    gd87-07-10d3t108.shn
     6:16.07      66342176     -b-   --    -xx    gd87-07-10d3t109.shn
   199:40.23    2113328208 B                      (totals for 29 files, 0.6449 overall compression ratio)
