20/07/1988
MARJORIE MERRIWEATHER POST PAVILION
COLUMBIA, MARYLAND

1	Subterranean Homesick Blues
2	Shelter From The Storm
3	Highway 61 Revisited
4	Masters Of War
5	You're A Big Girl Now
6	Driftin' Too Far From Shore
7	The Times They Are A-Changin'
8	Eileen Aroon (Trad)
9	It Ain't Me, Babe
10	I Shall Be Released
11	Silvio (Dylan/Hunter)
12	Like A Rolling Stone
13	A Hard Rain's A-Gonna Fall
14	Maggie's Farm
15	All Along The Watchtower


Bob Dylan	Guitar/Harmonica
Chris Parker	Drums
G E Smith	Guitars
Kenny Arronson	Bass
