    length     expanded size   cdr  WAVE  probs   filename
     3:36.60      38243564     ---   --    -xx    bd1999-07-11d1t01.flac
     6:45.26      71503196     ---   --    -xx    bd1999-07-11d1t02.flac
     7:50.15      82943324     ---   --    -xx    bd1999-07-11d1t03.flac
     5:23.37      57064268     ---   --    -xx    bd1999-07-11d1t04.flac
     7:51.18      83126780     ---   --    -xx    bd1999-07-11d1t05.flac
     6:29.47      68730188     ---   --    -xx    bd1999-07-11d1t06.flac
     5:45.67      61015628     ---   --    -xx    bd1999-07-11d1t07.flac
     4:53.32      51760508     ---   --    -xx    bd1999-07-11d1t08.flac
     6:27.48      68379740     ---   --    -xx    bd1999-07-11d1t09.flac
     4:30.37      47715068     ---   --    -xx    bd1999-07-11d1t10.flac
     6:14.69      66135932     ---   --    -xx    bd1999-07-11d1t11.flac
     0:57.18      10097180     ---   --    -xx    bd1999-07-11d1t12.flac
     5:58.52      63273548     ---   --    -xx    bd1999-07-11d1t13.flac
     1:31.39      16144172     ---   --    -xx    bd1999-07-11d1t14.flac
     6:22.22      67436588     ---   --    -xx    bd1999-07-11d2t01.flac
     8:32.66      90472076     ---   --    -xx    bd1999-07-11d2t02.flac
     9:46.16     103408076     ---   --    -xx    bd1999-07-11d2t03.flac
     3:49.27      40459148     ---   --    -xx    bd1999-07-11d2t04.flac
     1:39.55      17593004     ---   --    -xx    bd1999-07-11d2t05.flac
     5:55.12      62650268     ---   --    -xx    bd1999-07-11d2t06.flac
   110:22.13    1168152256 B                      (totals for 20 files, 0.5899 overall compression ratio)
