2004-06-09	Salem, VA
Unknown Taper


Disc One  (68:47)
1	Intro
2	The Wicked Messenger
3	You Ain't Goin' Nowhere
4	Cry A While
5	Just Like A Woman 
6	High Water (For Charley Patton) 
7	Stuck Inside Of Mobile 
8	Desolation Row 
9	Tweedle Dee & Tweedle Dum 
10	Ballad Of Hollis Brown 
11	Boots Of Spanish Leather
12	Floater (Too Much To Ask)
Disc Two  (41:40)
1	Honest With Me 
2	Saving Grace
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower


