Unknown Taper Series

2004-06-04	Gilford, NH

Disc One (75:20)
1	Intro
2	Drifter's Escape 
3	I'll Be Your Baby Tonight 
4	Tweedle Dee & Tweedle Dum 
5	Just Like A Woman 
6	Most Likely You Go Your Way
7	Positively 4th Street 
8	Highway 61 Revisited
9	Love Sick 
10	Stuck Inside Of Mobile 
11	It Ain't Me, Babe
12	Floater (Too Much To Ask)
Disc Two (43:06)
1	Honest With Me 
2	I Believe In You 
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower
