Unknown Taper Series

2004-06-06	Atlantic City, NJ

Disc One  (67:43)
1	Intro
2	God Knows 
3	Forever Young 
4	Watching The River Flow 
5	Tryin' To Get To Heaven 
6	Stuck Inside Of Mobile 
7	Tweedle Dee & Tweedle Dum 
8	Blind Willie McTell 
9	Highway 61 Revisited
10	I Shall Be Released 
11	High Water (For Charley Patton) 
12	Moonlight 
Disc Two  (43:13)
1	Honest With Me 
2	Lay, Lady, Lay 
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower

