Unknown Taper Series

2004-06-05	Uncasville, CT

Disc One  (66:12)
1	Intro
2	Maggie's Farm 
3	Tell Me That It Isn't True
4	Lonesome Day Blues 
5	Ring Them Bells 
6	Things Have Changed 
7	Girl Of The North Country 
8	Tweedle Dee & Tweedle Dum 
9	It Ain't Me, Babe
10	Ballad Of A Thin Man 
11	Highway 61 Revisited
12	Ballad Of Hollis Brown 
Disc Two  (44:41)
1	Honest With Me 
2	Every Grain Of Sand 
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower

