Unknown Taper Series

2004-06-04	Gilford, NH

Disc One (75:20)
1	Intro
2	Drifter's Escape 
3	I'll Be Your Baby Tonight 
4	Tweedle Dee & Tweedle Dum 
5	Just Like A Woman 
6	Most Likely You Go Your Way
7	Positively 4th Street 
8	Highway 61 Revisited
9	Love Sick 
10	Stuck Inside Of Mobile 
11	It Ain't Me, Babe
12	Floater (Too Much To Ask)
Disc Two (43:06)
1	Honest With Me 
2	I Believe In You 
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower


2004-06-05	Uncasville, CT

Disc One  (66:12)
1	Intro
2	Maggie's Farm 
3	Tell Me That It Isn't True
4	Lonesome Day Blues 
5	Ring Them Bells 
6	Things Have Changed 
7	Girl Of The North Country 
8	Tweedle Dee & Tweedle Dum 
9	It Ain't Me, Babe
10	Ballad Of A Thin Man 
11	Highway 61 Revisited
12	Ballad Of Hollis Brown 
Disc Two  (44:41)
1	Honest With Me 
2	Every Grain Of Sand 
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower



2004-06-06	Atlantic City, NJ

Disc One  (67:43)
1	Intro
2	God Knows 
3	Forever Young 
4	Watching The River Flow 
5	Tryin' To Get To Heaven 
6	Stuck Inside Of Mobile 
7	Tweedle Dee & Tweedle Dum 
8	Blind Willie McTell 
9	Highway 61 Revisited
10	I Shall Be Released 
11	High Water (For Charley Patton) 
12	Moonlight 
Disc Two  (43:13)
1	Honest With Me 
2	Lay, Lady, Lay 
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower



2004-06-08	Wilmington, DE

Disc One  (65:03)
1	Intro
2	To Be Alone With You
3	It's All Over Now, Baby Blue
4	Lonesome Day Blues 
5	If Not For You
6	It's Alright, Ma (I'm Only Bleeding)
7	It Ain't Me, Babe
8	Cold Irons Bound
9	Under The Red Sky
10	Highway 61 Revisited
11	Not Dark Yet
12	Bye And Bye
Disc Two  (42:47)
1	Honest With Me 
2	Masters Of War
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower



2004-06-09	Salem, VA

Disc One  (68:47)
1	Intro
2	The Wicked Messenger
3	You Ain't Goin' Nowhere
4	Cry A While
5	Just Like A Woman 
6	High Water (For Charley Patton) 
7	Stuck Inside Of Mobile 
8	Desolation Row 
9	Tweedle Dee & Tweedle Dum 
10	Ballad Of Hollis Brown 
11	Boots Of Spanish Leather
12	Floater (Too Much To Ask)
Disc Two  (41:40)
1	Honest With Me 
2	Saving Grace
3	Summer Days 
4	Cat's In The Well
5	Like A Rolling Stone 
6	Band intros
7	All Along The Watchtower



2004-06-11	Manchester, TN

Disc One  (73:42)
1	Intro
2	Down Along The Cove
3	Tell Me That It Isn't True
4	Samson and Delilah
5	Watching The River Flow 
6	You Win Again (Hank Williams)
7	Cold Irons Bound
8	Sing Me Back Home (Merle Haggard)
9	Most Likely You Go Your Way
10	Highway 61 Revisited
11	Pancho & Lefty (Townes Van Zandt)
12	Seeing The Real You At Last
13	Blind Willie McTell 
Disc Two  (35:48)
1	Honest With Me 
2	Don't Think Twice, It's All Right 
3	Summer Days 
4	Cat's In The Well
5	Band intros
6	Like A Rolling Stone 

