Mobile Civic Center Arena
Mobile, Alabama
26 October 1997

Disc One
1	Absolutely Sweet Marie
2	Tonight I'll Be Staying Here With You
3	Cold Irons Bound
4	Just Like A Woman
5	Can't Wait
6	Silvio (Dylan/Hunter)
7	Stone Walls And Steel Bars
8	Tangled Up In Blue
9	Mr. Tambourine Man
10	'Til I Fell In Love With You
11	This Wheel's On Fire (Dylan/Danko)

Disc Two
12	Stuck Inside Of Mobile With The Memphis Blues Again
13	Like A Rolling Stone
14	One Too Many Mornings
15	Love Sick
16	Rainy Day Women Nos. 12 & 35


Bob Dylan band:
Bucky Baxter	Steel Guitar
David Kemper	Drums
Larry Campbell	Guitars
Tony Garnier	Bass
