    length     expanded size   cdr  WAVE  probs   filename
     2:38.45      27977084     ---   --    -xx    dylan&band1974-01-14.early.d01t01.shn
     3:21.00      35456444     ---   --    -xx    dylan&band1974-01-14.early.d01t02.shn
     6:02.37      63943868     ---   --    -xx    dylan&band1974-01-14.early.d01t03.shn
     3:51.38      40837820     ---   --    -xx    dylan&band1974-01-14.early.d01t04.shn
     5:32.52      58687148     ---   --    -xx    dylan&band1974-01-14.early.d01t05.shn
     4:04.45      43147484     ---   --    -xx    dylan&band1974-01-14.early.d01t06.shn
     4:46.45      50556284     ---   --    -xx    dylan&band1974-01-14.early.d01t07.shn
     4:31.45      47910284     ---   --    -xx    dylan&band1974-01-14.early.d01t08.shn
     3:57.00      41806844     ---   --    -xx    dylan&band1974-01-14.early.d01t09.shn
     4:15.08      45000860     ---   --    -xx    dylan&band1974-01-14.early.d01t10.shn
     3:42.60      39301964     ---   --    -xx    dylan&band1974-01-14.early.d01t11.shn
     4:25.45      46851884     ---   --    -xx    dylan&band1974-01-14.early.d01t12.shn
     3:34.52      37871948     ---   --    -xx    dylan&band1974-01-14.early.d01t13.shn
     4:02.38      42778220     ---   --    -xx    dylan&band1974-01-14.early.d01t14.shn
     4:27.53      47223500     ---   --    -xx    dylan&band1974-01-14.early.d01t15.shn
    63:14.38     669351636 B                      (totals for 15 files, 0.6746 overall compression ratio)
