    length     expanded size   cdr  WAVE  probs   filename
     3:05.37      32721068     ---   --    -xx    dylan&band1974-01-14.early.d02t01.shn
     3:51.00      40748444     ---   --    -xx    dylan&band1974-01-14.early.d02t02.shn
     4:59.45      52849484     ---   --    -xx    dylan&band1974-01-14.early.d02t03.shn
     4:28.23      47329340     ---   --    -xx    dylan&band1974-01-14.early.d02t04.shn
     5:05.67      53959628     ---   --    -xx    dylan&band1974-01-14.early.d02t05.shn
     4:05.45      43323884     ---   --    -xx    dylan&band1974-01-14.early.d02t06.shn
     3:42.00      39160844     ---   --    -xx    dylan&band1974-01-14.early.d02t07.shn
     4:31.23      47858540     ---   --    -xx    dylan&band1974-01-14.early.d02t08.shn
     4:43.60      50062364     ---   --    -xx    dylan&band1974-01-14.early.d02t09.shn
     4:59.60      52884764     ---   --    -xx    dylan&band1974-01-14.early.d02t10.shn
     5:02.15      53308124     ---   --    -xx    dylan&band1974-01-14.early.d02t11.shn
     6:16.30      66397004     ---   --    -xx    dylan&band1974-01-14.early.d02t12.shn
     4:07.45      43676684     ---   --    -xx    dylan&band1974-01-14.early.d02t13.shn
    58:59.00     624280172 B                      (totals for 13 files, 0.6931 overall compression ratio)
