    length     expanded size   cdr  WAVE  probs   filename
     3:41.15      39019724     ---   --    -xx    dylan&band1974-01-14.late.d01t01.shn
     3:06.67      32968028     ---   --    -xx    dylan&band1974-01-14.late.d01t02.shn
     6:11.08      65463260     ---   --    -xx    dylan&band1974-01-14.late.d01t03.shn
     3:31.30      37291004     ---   --    -xx    dylan&band1974-01-14.late.d01t04.shn
     3:52.67      41082428     ---   --    -xx    dylan&band1974-01-14.late.d01t05.shn
     4:09.15      43958924     ---   --    -xx    dylan&band1974-01-14.late.d01t06.shn
     4:41.45      49674284     ---   --    -xx    dylan&band1974-01-14.late.d01t07.shn
     4:33.68      48317180     ---   --    -xx    dylan&band1974-01-14.late.d01t08.shn
     3:40.67      38965628     ---   --    -xx    dylan&band1974-01-14.late.d01t09.shn
     3:55.60      41595164     ---   --    -xx    dylan&band1974-01-14.late.d01t10.shn
     3:44.00      39513644     ---   --    -xx    dylan&band1974-01-14.late.d01t11.shn
     4:31.68      47964380     ---   --    -xx    dylan&band1974-01-14.late.d01t12.shn
     3:23.52      35931548     ---   --    -xx    dylan&band1974-01-14.late.d01t13.shn
     4:13.53      44753900     ---   --    -xx    dylan&band1974-01-14.late.d01t14.shn
     3:41.60      39125564     ---   --    -xx    dylan&band1974-01-14.late.d01t15.shn
    61:00.00     645624660 B                      (totals for 15 files, 0.6835 overall compression ratio)
