CD: Bob Dylan - 050430-Beacon-D1

01. Columbia Recording Artist    [0:00:30.67]
02. Maggie's Farm    [0:05:43.74]
03. To Ramona    [0:07:18.67]
04. Cry A While    [0:06:07.40]
05. Bye And Bye    [0:07:02.74]
06. Ballad Of Hollis Brown    [0:05:55.44]
07. If You See Her, Say Hello    [0:07:06.42]
08. Lenny Bruce    [0:07:13.37]
09. Honest With Me    [0:07:12.42]
10. The Lonesome Death Of Hattie Carroll    [0:06:29.43]
11. High Water (For Charley Patton)    [0:08:15.01]
12. I Shall Be Released    [0:07:19.54]
