Live at the Pavillon De France 05/19/1978

History: AUD (Reel,7.5lps, stereo, 1/4 track) -> DAT -> CDR (flat transfer from revox a77)





           1-1 Baby Stop Crying                                                             (5:40)

           1-2 She's Love Crazy                                                             (2:49)
           1-3 Mr. Tambourine Man                                                           (5:45)

           1-4 Shelter From The Storm                                                       (4:45)
           1-5 It's All Over Now Baby Blue                                                  (5:31)

           1-6 Tangled Up In Blue                                                           (7:11)
           1-7 Ballad Of A Thin Man                                                         (5:07)

           1-8 My Back Pages                                                                (2:30)
           1-9 Maggie's Farm                                                                (5:12)

          1-10 I Don't Believe You                                                          (4:46)

          1-11 Like A Rolling Stone                                                         (7:31)
          1-12 I Shall Be Released                                                          (5:05)

          1-13 Going Going Gone                                                             (5:20)
           2-1 Rainy Day Women No. 12 & 35/True Love Tends To Forget                        (6:35)

           2-2 Gates Of Eden                                                                (6:22)
           2-3 The Man In Me                                                                (4:02)

           2-4 One More Cup Of Coffee (Valley Below)                                        (3:27)
           2-5 Blowin' In The Wind                                                          (5:27)

           2-6 I Want You                                                                   (3:08)

           2-7 Senor (Tales Of Yankee Power)                                                (5:27)
           2-8 Masters Of War                                                               (5:05)

           2-9 Just Like A Woman                                                            (6:11)
          2-10 Don't Think Twice It's All Right                                             (5:36)

          2-11 All Along The Watchtower                                                     (4:19)
          2-12 All I Really Want To Do                                                      (3:56)

           3-1 All I Really Want To Do                                                      (2:40)
           3-2 It's Alright Ma (I'm Only Bleeding)                                          (7:10)

           3-3 Forever Young                                                                (9:19)
           3-4 Changing Of The Guards                                                       (6:48)

           3-5 The Times They Are A-Changin'                                                (5:34)



























