Frequency (Hz)	Level (dB)
86.132813	-3.294698
172.265625	-8.146971
258.398438	-13.666851
344.531250	-16.833050
430.664063	-17.913996
516.796875	-18.768322
602.929688	-19.708569
689.062500	-20.273102
775.195313	-21.548286
861.328125	-20.781290
947.460938	-23.231562
1033.593750	-22.463022
1119.726563	-20.863335
1205.859375	-23.972683
1291.992188	-26.975094
1378.125000	-28.150984
1464.257813	-25.148563
1550.390625	-28.306152
1636.523438	-27.846544
1722.656250	-28.372726
1808.789063	-31.439619
1894.921875	-36.187653
1981.054688	-34.101673
2067.187500	-37.220242
2153.320313	-34.131466
2239.453125	-32.074909
2325.585938	-39.073719
2411.718750	-39.229843
2497.851563	-40.289864
2583.984375	-39.460732
2670.117188	-36.263340
2756.250000	-34.962234
2842.382813	-35.545422
2928.515625	-36.145145
3014.648438	-35.494343
3100.781250	-35.714710
3186.914063	-36.432819
3273.046875	-33.044197
3359.179688	-33.265553
3445.312500	-36.822876
3531.445313	-35.424435
3617.578125	-30.410009
3703.710938	-32.932728
3789.843750	-37.468929
3875.976563	-37.310993
3962.109375	-33.610428
4048.242188	-36.966019
4134.375000	-37.849148
4220.507813	-35.261017
4306.640625	-38.311436
4392.773438	-37.305336
4478.906250	-34.982243
4565.039063	-39.488174
4651.171875	-39.845398
4737.304688	-40.865288
4823.437500	-42.071522
4909.570313	-42.035320
4995.703125	-40.911522
5081.835938	-42.351158
5167.968750	-44.368042
5254.101563	-42.849892
5340.234375	-42.030724
5426.367188	-43.650665
5512.500000	-44.693951
5598.632813	-43.058556
5684.765625	-42.623283
5770.898438	-42.810139
5857.031250	-40.493427
5943.164063	-38.332607
6029.296875	-37.235485
6115.429688	-39.167362
6201.562500	-40.492607
6287.695313	-39.201767
6373.828125	-42.429829
6459.960938	-40.708431
6546.093750	-39.530224
6632.226563	-37.858097
6718.359375	-37.181549
6804.492188	-40.594296
6890.625000	-42.740040
6976.757813	-44.172817
7062.890625	-45.322834
7149.023438	-42.460922
7235.156250	-39.931030
7321.289063	-41.557308
7407.421875	-41.487816
7493.554688	-41.332260
7579.687500	-41.636612
7665.820313	-42.692482
7751.953125	-42.991985
7838.085938	-40.895527
7924.218750	-44.026695
8010.351563	-44.754589
8096.484375	-44.979935
