H:\Bob Dylan 7-23-89\Disc1_shns>shntool len *.shn
    length     expanded size   cdr  WAVE  probs   filename
     4:28.71      47442236     ---   --    -xx    Bob Dylan 1989-7-23d1t01.shn
     6:01.07      63696908     ---   --    -xx    Bob Dylan 1989-7-23d1t02.shn
     4:36.30      48757004     ---   --    -xx    Bob Dylan 1989-7-23d1t03.shn
     5:44.13      60712220     ---   --    -xx    Bob Dylan 1989-7-23d1t04.shn
     6:13.31      65870156     ---   --    -xx    Bob Dylan 1989-7-23d1t05.shn
     6:37.71      70197836     ---   --    -xx    Bob Dylan 1989-7-23d1t06.shn
     4:44.02      50102348     ---   --    -xx    Bob Dylan 1989-7-23d1t07.shn
     3:28.04      36700652     ---   --    -xx    Bob Dylan 1989-7-23d1t08.shn
     7:49.66      82886876     ---   --    -xx    Bob Dylan 1989-7-23d1t09.shn
     3:58.06      41997356     ---   --    -xx    Bob Dylan 1989-7-23d1t10.shn
     3:42.74      39334892     ---   --    -xx    Bob Dylan 1989-7-23d1t11.shn
     3:55.04      41463452     ---   --    -xx    Bob Dylan 1989-7-23d1t12.shn
     6:48.60      72112364     ---   --    -xx    Bob Dylan 1989-7-23d1t13.shn
    68:08.64     721274300 B                      (totals for 13 files, 0.5968 overall compression ratio)
