Bob Dylan  Clarkston 10 aug 1997 

trade(flac) > azareus > torrent > .....

no taper info 


August 10 1997	Pine Knob Music Theatre  Clarkston, Michigan

Never-Ending Tour Concert #885	

1	Absolutely Sweet Marie
2	I Shall Be Released
3	Tough Mama
4	You Ain't Goin' Nowhere
5	Silvio
6	Don't Think Twice, It's All Right (acoustic w band)
7	Tangled Up In Blue (acoustic w band)
8	Cocaine Blues (acoustic w band)
9	God Knows
10	Blind Willie McTell
11	Highway 61 Revisited


1	Like A Rolling Stone
2	Forever Young (acoustic w band)
3	Rainy Day Women #12 & 35
