Folder	Relative filename	File	Extension	File size	File date - meaning?	File md5	Length of track	WAV file size	shntool len output	shntool WAV md5	Track title - uncertain
Cary2003	cary front.jpg	cary front	jpg	305407	2003-05-19 08:42 AM	8ab8909c6a3591abd5d782891ef9bac7					
Cary2003	cary rear.jpg	cary rear	jpg	514818	2003-05-19 08:42 AM	3fa9821f43ec3cb0e04e9abea60bc345					
Cary2003\disk01	disk01\Bob Dylan - Track 01.flac	Bob Dylan - Track 01	flac	46442110	2006-05-28 03:42 PM	968b64783b16d370bc1b8849f9f3054a	6:40.06	70574156	---   --   ---xx	994cc82742093f69060b984d84a9d0c4	
Cary2003\disk01	disk01\Bob Dylan - Track 02.flac	Bob Dylan - Track 02	flac	32924313	2006-05-28 03:43 PM	6af46f20665b74a75b04ba6c341539dc	4:59.70	52908284	---   --   ---xx	a80d444d4e255ab12cfb59359931343f	
Cary2003\disk01	disk01\Bob Dylan - Track 03.flac	Bob Dylan - Track 03	flac	36677708	2006-05-28 03:43 PM	84655c3c539399449227787d9e73bd6e	5:24.54	57280652	---   --   ---xx	57d58ee3b8944260cdf435a4422d6f1f	
Cary2003\disk01	disk01\Bob Dylan - Track 04.flac	Bob Dylan - Track 04	flac	51964824	2006-05-28 03:43 PM	538e9a721a233037fd1d62bfe0829d1a	7:42.54	81623852	---   --   ---xx	2220649cd3ca646334206ca19fb11543	
Cary2003\disk01	disk01\Bob Dylan - Track 05.flac	Bob Dylan - Track 05	flac	47775162	2006-05-28 03:43 PM	62aa1b4409c99db4e8a060710a589bf5	7:11.33	76106060	---   --   ---xx	4129482f033c2329b4ab863c8ddb640e	
Cary2003\disk01	disk01\Bob Dylan - Track 06.flac	Bob Dylan - Track 06	flac	47281961	2006-05-28 03:43 PM	f1eb5bb891c000a5736f829a0e68b061	7:09.46	75783836	---   --   ---xx	e1db20f9beaf7bd5c65da236f10782ee	
Cary2003\disk01	disk01\Bob Dylan - Track 07.flac	Bob Dylan - Track 07	flac	41174134	2006-05-28 03:44 PM	8253955576a6d85fd82fb702eae26a77	6:07.03	64745900	---   --   ---xx	c043cb3391062ffafc2232c62e6edbc9	
Cary2003\disk01	disk01\Bob Dylan - Track 08.flac	Bob Dylan - Track 08	flac	39934387	2006-05-28 03:44 PM	ccd16496a4a1f4375ef5103e495d60be	5:51.25	61975244	---   --   ---xx	83c9c14a320348165c6a4e0908ab5143	
Cary2003\disk01	disk01\Bob Dylan - Track 09.flac	Bob Dylan - Track 09	flac	41118642	2006-05-28 03:44 PM	23398a8caf87a231e5fee62f79ed8e9f	6:34.04	69511052	---   --   ---xx	412a72df3c989d4052f61a4e96c6f0cf	
Cary2003\disk01	disk01\Bob Dylan - Track 10.flac	Bob Dylan - Track 10	flac	45498017	2006-05-28 03:44 PM	ac2a864dd144cce6c93200be0cdf3b68	6:39.26	70444796	---   --   ---xx	b2bc7874a5c3785e4bdfa5d508f835a6	
Cary2003\disk01	disk01\cary2003D1fingerprint.txt	cary2003D1fingerprint	txt	600	2006-05-28 04:04 PM	2e7230fcbb694017de3aef084377a320					
Cary2003\disk02	disk02\Bob Dylans - Track 01.flac	Bob Dylans - Track 01	flac	41356372	2006-05-28 03:59 PM	a991186c9b69f0fad26ba1959795f7db	5:58.74	63325292	---   --   ---xx	f2b7ef3da091917b5ada8c18b2ad70e3	
Cary2003\disk02	disk02\Bob Dylans - Track 02.flac	Bob Dylans - Track 02	flac	48360616	2006-05-28 03:59 PM	fb73a06ca24d2f9c0de4d7636d42c115	6:49.73	72319340	---   --   ---xx	41221c9a0169794f9ea289d713323c08	
Cary2003\disk02	disk02\Bob Dylans - Track 03.flac	Bob Dylans - Track 03	flac	40239619	2006-05-28 03:59 PM	73c36a273d27794bd97a4649ff758107	6:23.50	67678844	---   --   ---xx	3228c4509b6e25ee64495ddda2937104	
Cary2003\disk02	disk02\Bob Dylans - Track 04.flac	Bob Dylans - Track 04	flac	72833403	2006-05-28 04:00 PM	dd2218a2d1d3149dae4389e12cda8326	10:52.25	115071644	---   --   ---xx	e797a11596bc1bd53742cb03057212f7	
Cary2003\disk02	disk02\Bob Dylans - Track 05.flac	Bob Dylans - Track 05	flac	46849802	2006-05-28 04:00 PM	13d1753c27c6760a1ae9792061290760	6:39.12	70411868	---   --   ---xx	f3aaa8079f80a296ca213d2d28f7c18c	
Cary2003\disk02	disk02\Bob Dylans - Track 06.flac	Bob Dylans - Track 06	flac	54106870	2006-05-28 04:00 PM	fd35ea4f7755630994ce18f4d377c611	7:45.34	82106012	---   --   ---xx	d4b6ea178e0778a95ee434d493372cd8	
Cary2003\disk02	disk02\cary2003D2fingerprint.txt	cary2003D2fingerprint	txt	366	2006-05-28 04:10 PM	1682361755df1732d447670297ab54ae					
