    length     expanded size   cdr  WAVE  probs   filename
     4:48.03      50810300     ---   --    ---    gd86-07-02d1t01.wav
     5:07.07      54171308     ---   --    ---    gd86-07-02d1t02.wav
     7:39.37      81054668     ---   --    ---    gd86-07-02d1t03.wav
     8:07.37      85993868     ---   --    ---    gd86-07-02d1t04.wav
     3:36.34      38182412     ---   --    ---    gd86-07-02d1t05.wav
     6:53.72      73022588     ---   --    ---    gd86-07-02d1t06.wav
     7:07.30      75393404     ---   --    ---    gd86-07-02d1t07.wav
     2:54.64      30844172     ---   --    ---    gd86-07-02d1t08.wav
     4:15.09      45003212     ---   --    ---    gd86-07-02d1t09.wav
     3:06.20      32857484     ---   --    ---    gd86-07-02d1t10.wav
     5:17.48      56031740     ---   --    ---    gd86-07-02d2t01.wav
     5:09.47      54618188     ---   --    ---    gd86-07-02d2t02.wav
     7:38.27      80854748     ---   --    ---    gd86-07-02d2t04.wav
     9:41.61     102631916     ---   --    ---    gd86-07-02d2t05.wav
     9:02.04      95618252     ---   --    ---    gd86-07-02d2t06.wav
     6:32.15      69184124     ---   --    ---    gd86-07-02d2t07.wav
     6:24.01      67739996     ---   --    ---    gd86-07-02d2t08.wav
     8:13.01      86967596     ---   --    ---    gd86-07-02d2t09.wav
     6:52.55      72806204     ---   --    ---    gd86-07-02d2t10.wav
     5:43.00      60505244     ---   --    ---    gd86-07-02d2t11.wav
   124:10.47    1314291424 B                      (totals for 20 files)
