    length     expanded size   cdr  WAVE problems filename
     4:18.64       45661772    ---   --   ---xx   01. bd-1999-03-02d01t01.flac
     4:53.28       51751100    ---   --   ---xx   02. bd-1999-03-02d01t02.flac
     8:04.26       85438796    ---   --   ---xx   03. bd-1999-03-02d01t03.flac
     6:07.63       64887020    ---   --   ---xx   04. bd-1999-03-02d01t04.flac
     6:05.21       64435436    ---   --   ---xx   05. bd-1999-03-02d01t05.flac
     7:31.06       79570556    ---   --   ---xx   06. bd-1999-03-02d01t06.flac
     5:10.24       54740492    ---   --   ---xx   07. bd-1999-03-02d01t07.flac
     7:08.58       75635660    ---   --   ---xx   08. bd-1999-03-02d01t08.flac
     6:25.73       68085740    ---   --   ---xx   09. bd-1999-03-02d01t09.flac
    55:45.63      590206572 B                     (totals for 9 files, 0.5890 overall compression ratio)
