    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     5:50.06       61754156 B   ---   --   ---xx   flac  0.6919  band1976-11-25.motb.0066.d1t01.flac
     4:18.60       45652364 B   ---   --   ---xx   flac  0.7056  band1976-11-25.motb.0066.d1t02.flac
     7:14.32       76632908 B   ---   --   ---xx   flac  0.6922  band1976-11-25.motb.0066.d1t03.flac
     4:52.62       51654668 B   ---   --   ---xx   flac  0.7059  band1976-11-25.motb.0066.d1t04.flac
     3:45.65       39842924 B   ---   --   ---xx   flac  0.7146  band1976-11-25.motb.0066.d1t05.flac
     3:40.27       38871548 B   ---   --   ---xx   flac  0.6788  band1976-11-25.motb.0066.d1t06.flac
     3:53.69       41263532 B   ---   --   ---xx   flac  0.6319  band1976-11-25.motb.0066.d1t07.flac
     3:54.29       41345852 B   ---   --   ---xx   flac  0.6867  band1976-11-25.motb.0066.d1t08.flac
     3:44.61       39657116 B   ---   --   ---xx   flac  0.6840  band1976-11-25.motb.0066.d1t09.flac
     4:41.10       49591964 B   ---   --   ---xx   flac  0.6734  band1976-11-25.motb.0066.d1t10.flac
     4:29.38       47541020 B   ---   --   ---xx   flac  0.6875  band1976-11-25.motb.0066.d1t11.flac
     4:27.30       47169404 B   ---   --   ---xx   flac  0.6734  band1976-11-25.motb.0066.d1t12.flac
     5:10.31       54756956 B   ---   --   ---xx   flac  0.6461  band1976-11-25.motb.0066.d1t13.flac
     4:57.39       52482572 B   ---   --   ---xx   flac  0.6523  band1976-11-25.motb.0066.d1t14.flac
     3:45.30       39760604 B   ---   --   ---xx   flac  0.6414  band1976-11-25.motb.0066.d2t01.flac
     6:19.61       66999116 B   ---   --   ---xx   flac  0.6625  band1976-11-25.motb.0066.d2t02.flac
     6:58.01       73737596 B   ---   --   ---xx   flac  0.6908  band1976-11-25.motb.0066.d2t03.flac
     7:01.69       74426732 B   ---   --   ---xx   flac  0.6736  band1976-11-25.motb.0066.d2t04.flac
     4:38.69       49201532 B   ---   --   ---xx   flac  0.6818  band1976-11-25.motb.0066.d2t05.flac
     5:33.02       58745948 B   ---   --   ---xx   flac  0.7073  band1976-11-25.motb.0066.d2t06.flac
     5:59.61       63471116 B   ---   --   ---xx   flac  0.6669  band1976-11-25.motb.0066.d2t07.flac
     4:54.42       51960428 B   ---   --   ---xx   flac  0.6441  band1976-11-25.motb.0066.d2t08.flac
     6:27.03       68273900 B   ---   --   ---xx   flac  0.6427  band1976-11-25.motb.0066.d2t09.flac
     5:49.23       61617740 B   ---   --   ---xx   flac  0.6592  band1976-11-25.motb.0066.d2t10.flac
     5:28.02       57863948 B   ---   --   ---xx   flac  0.6108  band1976-11-25.motb.0066.d2t11.flac
     4:41.67       49726028 B   ---   --   ---xx   flac  0.6505  band1976-11-25.motb.0066.d3t01.flac
     4:18.74       45685292 B   ---   --   ---xx   flac  0.6627  band1976-11-25.motb.0066.d3t02.flac
     6:34.24       69558092 B   ---   --   ---xx   flac  0.6894  band1976-11-25.motb.0066.d3t03.flac
     7:10.66       76007276 B   ---   --   ---xx   flac  0.6799  band1976-11-25.motb.0066.d3t04.flac
     6:05.29       64454252 B   ---   --   ---xx   flac  0.6349  band1976-11-25.motb.0066.d3t05.flac
     5:31.20       58435484 B   ---   --   ---xx   flac  0.7025  band1976-11-25.motb.0066.d3t06.flac
     6:04.28       64275500 B   ---   --   ---xx   flac  0.6504  band1976-11-25.motb.0066.d3t07.flac
     4:57.24       52447292 B   ---   --   ---xx   flac  0.6707  band1976-11-25.motb.0066.d3t08.flac
     3:15.01       34400396 B   ---   --   ---xx   flac  0.6903  band1976-11-25.motb.0066.d3t09.flac
     3:51.61       40891916 B   ---   --   ---xx   flac  0.6678  band1976-11-25.motb.0066.d3t10.flac
     4:57.34       52470812 B   ---   --   ---xx   flac  0.6777  band1976-11-25.motb.0066.d3t11.flac
     5:57.21       63024236 B   ---   --   ---xx   flac  0.6660  band1976-11-25.motb.0066.d3t12.flac
     5:28.64       58009772 B   ---   --   ---xx   flac  0.6788  band1976-11-25.motb.0066.d3t13.flac
     4:58.29       52635452 B   ---   --   ---xx   flac  0.6446  band1976-11-25.motb.0066.d4t01.flac
    12:07.71      128409836 B   ---   --   ---xx   flac  0.6647  band1976-11-25.motb.0066.d4t02.flac
    22:33.45      238775084 B   ---   --   ---xx   flac  0.6602  band1976-11-25.motb.0066.d4t03.flac
     6:30.20       68843084 B   ---   --   ---xx   flac  0.6641  band1976-11-25.motb.0066.d4t04.flac
   243:02.25     2572325448 B                            0.6694  (42 files)
