    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     6:15.08       66168860 B   ---   --   ---xx    shn  0.6644  bd1990-09-09d1t01.shn
     4:16.61       45301916 B   ---   --   ---xx    shn  0.6694  bd1990-09-09d1t02.shn
     5:05.45       53907884 B   ---   --   ---xx    shn  0.6854  bd1990-09-09d1t03.shn
     4:15.69       45144332 B   ---   --   ---xx    shn  0.7247  bd1990-09-09d1t04.shn
     4:23.20       46440284 B   ---   --   ---xx    shn  0.7120  bd1990-09-09d1t05.shn
     5:03.51       53569196 B   ---   --   ---xx    shn  0.7013  bd1990-09-09d1t06.shn
     5:29.63       58183820 B   ---   --   ---xx    shn  0.6671  bd1990-09-09d1t07.shn
     4:39.20       49262684 B   ---   --   ---xx    shn  0.6690  bd1990-09-09d1t08.shn
     6:23.36       67645916 B   ---   --   ---xx    shn  0.6470  bd1990-09-09d1t09.shn
     4:45.44       50377532 B   ---   --   ---xx    shn  0.6228  bd1990-09-09d2t01.shn
     3:39.57       38765708 B   ---   --   ---xx    shn  0.6611  bd1990-09-09d2t02.shn
     5:49.55       61693004 B   ---   --   ---xx    shn  0.6271  bd1990-09-09d2t03.shn
     3:10.40       33610124 B   ---   --   ---xx    shn  0.6857  bd1990-09-09d2t04.shn
     4:23.51       46513196 B   ---   --   ---xx    shn  0.6783  bd1990-09-09d2t05.shn
     3:34.15       37784924 B   ---   --   ---xx    shn  0.6564  bd1990-09-09d2t06.shn
     6:22.26       67445996 B   ---   --   ---xx    shn  0.6729  bd1990-09-09d2t07.shn
     4:54.73       52033340 B   ---   --   ---xx    shn  0.6159  bd1990-09-09d2t08.shn
     4:47.69       50789132 B   ---   --   ---xx    shn  0.6384  bd1990-09-09d2t09.shn
    87:21.53      924637848 B                            0.6652  (18 files)

Time (length) is given as mintues:seconds.CD sectors
