shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     4:58.027      85831724 B   cxx   --   ---xx   flac  0.7392  bobdylan1996-11-23.lmpp.d1t01.flac
     5:49.533     100665644 B   cxx   --   ---xx   flac  0.7141  bobdylan1996-11-23.lmpp.d1t02.flac
     6:13.947     107696684 B   cxx   --   ---xx   flac  0.7360  bobdylan1996-11-23.lmpp.d1t03.flac
     7:27.493     128878124 B   cxx   --   ---xx   flac  0.7082  bobdylan1996-11-23.lmpp.d1t04.flac
     6:23.840     110545964 B   cxx   --   ---xx   flac  0.7248  bobdylan1996-11-23.lmpp.d1t05.flac
     7:32.827     130414124 B   cxx   --   ---xx   flac  0.7418  bobdylan1996-11-23.lmpp.d1t06.flac
     7:16.320     125660204 B   cxx   --   ---xx   flac  0.7334  bobdylan1996-11-23.lmpp.d1t07.flac
     5:06.587      88297004 B   cxx   --   ---xx   flac  0.7110  bobdylan1996-11-23.lmpp.d1t08.flac
     6:18.733     109075244 B   cxx   --   ---xx   flac  0.6956  bobdylan1996-11-23.lmpp.d1t09.flac
     5:32.080      95639084 B   cxx   --   ---xx   flac  0.7161  bobdylan1996-11-23.lmpp.d2t01.flac
     7:10.027     123847724 B   cxx   --   ---xx   flac  0.7081  bobdylan1996-11-23.lmpp.d2t02.flac
     7:52.013     135939884 B   cxx   --   ---xx   flac  0.7397  bobdylan1996-11-23.lmpp.d2t03.flac
     9:21.187     161621804 B   cxx   --   ---xx   flac  0.7228  bobdylan1996-11-23.lmpp.d2t04.flac
     8:40.520     149909804 B   cxx   --   ---xx   flac  0.7340  bobdylan1996-11-23.lmpp.d2t05.flac
     8:34.957     148307756 B   cxx   --   ---xx   flac  0.7250  bobdylan1996-11-23.lmpp.d2t06.flac
   104:18.091    1802330772 B                            0.7239  (15 files)
