Name                                         Size Modified          Attributes Checksum                         Type
--------------------------------------------------------------------------------------------------------------------
01-cats in a well.flac                 22 447 662 12/04/2009  10:39          A 32a6767967078955064c08dd9ad6290a Free Lossless Audio Codec File
02-the times a changin.flac            23 124 597 12/04/2009  10:40          A 4550e1fc850670c33bd6e73d459c04a2 Free Lossless Audio Codec File
03-i ll be your baby.flac              23 790 402 12/04/2009  10:40          A bbcb437eb635a52394984e880549836d Free Lossless Audio Codec File
04-memphis blues again.flac            27 187 643 12/04/2009  10:40          A 1aa8ea005aa3ba5965a74d71e2edc5e2 Free Lossless Audio Codec File
05-john brown.flac                     22 786 230 12/04/2009  10:40          A 35155e9e9c6f1591ea7c009d3375ae3e Free Lossless Audio Codec File
06-rollin and tumblin.flac             32 803 324 12/04/2009  10:40          A b119078d55b2b838dd981ab34d0bbd96 Free Lossless Audio Codec File
07-chimes of freedom.flac              30 379 921 12/04/2009  10:41          A b185ec1037c36dca02bc9971662eb30c Free Lossless Audio Codec File
08-Tweedle Dee.flac                    21 255 082 12/04/2009  10:41          A ea24dbfd9ae7d5f65aec71fbad483786 Free Lossless Audio Codec File
09-masters of war.flac                 22 417 572 12/04/2009  10:41          A ca6364180e48555d14d49bd26a56b813 Free Lossless Audio Codec File
10-honest with me.flac                 31 296 808 12/04/2009  10:41          A e901e3e30be6c51158436c5160ac71b8 Free Lossless Audio Codec File
11-beyond the horizon.flac             21 337 836 12/04/2009  10:41          A 0b324cc85b92c95e291f4ae6ca1be651 Free Lossless Audio Codec File
12-highway 61.flac                     33 415 470 12/04/2009  10:41          A 703973994b2e759aad99c57f3a7a5455 Free Lossless Audio Codec File
13-po boy.flac                         16 302 137 12/04/2009  10:41          A 8e88c1a4d28251de53106619b917fc57 Free Lossless Audio Codec File
14-thunder on the mountain.flac        30 720 724 12/04/2009  10:42          A f2b7761d5d314e4fbb07b278bf6c20d6 Free Lossless Audio Codec File
15- rolling stone.flac                 31 253 414 12/04/2009  10:42          A 5cce30ed1f2fa282ffc5c3310c9884bf Free Lossless Audio Codec File
16-applause.flac                       14 369 744 12/04/2009  10:42          A 999fc9249b76b1ba31239fa2148ad47a Free Lossless Audio Codec File
17-watchtower.flac                     22 627 462 12/04/2009  10:42          A 7d61770cd2eb7bd7522af0c2c79f4154 Free Lossless Audio Codec File
18-spirit on the water.flac            25 008 131 12/04/2009  10:42          A 5659ac5c6a7713cf3a028a9f40892fb2 Free Lossless Audio Codec File
19-blowin in the wind.flac             30 430 757 12/04/2009  10:39          A 4fe30fa349a0878416d20567234fb7b4 Free Lossless Audio Codec File
BOB DYLAN - Paris 2009-04-07 - AUD.md5      1 115 12/04/2009  10:44          A                                  MD5-File

