    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:46.00        8114220 B   -b-   --   ---xx   flac  0.5204  Dylan_2009_05_05_Dublin_TM_D1_01.flac
     4:50.74       51331116 B   -b-   --   ---xx   flac  0.5789  Dylan_2009_05_05_Dublin_TM_D1_02.flac
     5:26.58       57643052 B   -b-   --   ---xx   flac  0.5135  Dylan_2009_05_05_Dublin_TM_D1_03.flac
     7:29.02       79208492 B   -b-   --   ---xx   flac  0.5788  Dylan_2009_05_05_Dublin_TM_D1_04.flac
     7:16.58       77045804 B   -b-   --   ---xx   flac  0.5423  Dylan_2009_05_05_Dublin_TM_D1_05.flac
     6:40.34       70639672 B   -b-   --   ---xx   flac  0.5674  Dylan_2009_05_05_Dublin_TM_D1_06.flac
     5:58.61       63295520 B   -b-   --   ---xx   flac  0.5321  Dylan_2009_05_05_Dublin_TM_D1_07.flac
     7:28.40       79122476 B   -b-   --   ---xx   flac  0.5742  Dylan_2009_05_05_Dublin_TM_D1_08.flac
     5:15.12       55595052 B   -b-   --   ---xx   flac  0.5546  Dylan_2009_05_05_Dublin_TM_D1_09.flac
     7:01.07       74281004 B   -b-   --   ---xx   flac  0.5918  Dylan_2009_05_05_Dublin_TM_D1_10.flac
     5:24.57       57286700 B   -b-   --   ---xx   flac  0.5465  Dylan_2009_05_05_Dublin_TM_D1_11.flac
     7:07.08       75341868 B   -b-   --   ---xx   flac  0.5989  Dylan_2009_05_05_Dublin_TM_D1_12.flac
     7:49.33       82808876 B   -b-   --   ---xx   flac  0.5282  Dylan_2009_05_05_Dublin_TM_D1_13.flac
    78:34.70      831713852 B                            0.5595  (13 files)
