shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:42.44        7512332 B   ---   --   ---xx    shn  0.6399  01 Marine hymn [instrumental].shn
     3:45.44       39793532 B   ---   --   ---xx    shn  0.6727  02 Tangled up in blue.shn
     4:31.22       47856188 B   ---   --   ---xx    shn  0.6804  03 Positively 4th Street.shn
     3:15.22       34449788 B   ---   --   ---xx    shn  0.7058  04 All along the watchtower.shn
     4:44.09       50118812 B   ---   --   ---xx    shn  0.6769  05 Shelter from the storm.shn
     4:51.11       51358316 B   ---   --   ---xx    shn  0.6936  06 Masters of war.shn
     2:29.49       26398892 B   ---   --   ---xx    shn  0.6211  07 Song to Woody.shn
     4:32.39       48072572 B   ---   --   ---xx    shn  0.6415  08 Ballad of Hollis Brown.shn
     4:26.54       47049452 B   ---   --   ---xx    shn  0.6391  09 To Ramona.shn
     4:19.67       45845228 B   ---   --   ---xx    shn  0.6409  10 Mr. Tambourine Man.shn
     4:28.49       47390492 B   ---   --   ---xx    shn  0.6647  11 Just like a woman.shn
     2:24.43       25502780 B   ---   --   ---xx    shn  0.7038  12 Wiggle Wiggle.shn
     3:12.05       33880604 B   ---   --   ---xx    shn  0.6073  13 T.V. talkin' song.shn
     6:51.54       72627452 B   ---   --   ---xx    shn  0.6712  14 Joey.shn
     4:23.07       46409708 B   ---   --   ---xx    shn  0.6546  15 In the garden.shn
     6:37.09       70052012 B   ---   --   ---xx    shn  0.6495  16 Like a rolling stone.shn
     4:14.21       44855036 B   ---   --   ---xx    shn  0.5977  17 Blowin' in the wind.shn
     4:07.27       43634348 B   ---   --   ---xx    shn  0.6222  18 Maggie's farm.shn
    73:57.51      782807544 B                            0.6557  (18 files)
