shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:38.02        6707948 B   ---   --   ---xx   flac  0.2683  01 Intro.flac
     4:20.28       45929900 B   ---   --   ---xx   flac  0.3286  02 Rainy Day Women #12&35.flac
     6:12.28       65686700 B   ---   --   ---xx   flac  0.3147  03 Don't Think Twice, It's All Right.flac
     4:34.34       48413612 B   ---   --   ---xx   flac  0.3369  04 Watching the River Flow.flac
     7:16.39       77002172 B   ---   --   ---xx   flac  0.3440  05 It's Alright Mama (I'm Only Bleeding).flac
     5:35.44       59197532 B   ---   --   ---xx   flac  0.2967  06 Girl of the North Country.flac
     6:05.40       64480124 B   ---   --   ---xx   flac  0.3386  07 Rollin' and Tumblin'.flac
     6:14.59       66112412 B   ---   --   ---xx   flac  0.2791  08 When the Deal Goes Down.flac
     6:39.49       70498892 B   ---   --   ---xx   flac  0.3446  09 Honest Whith Me.flac
     6:56.45       73488284 B   ---   --   ---xx   flac  0.2915  10 Spirit of the Water.flac
     7:12.45       76310684 B   ---   --   ---xx   flac  0.3356  11 Tangled Up in Blue.flac
     5:14.32       55464908 B   ---   --   ---xx   flac  0.3146  12 Masters of War.flac
     5:21.16       56662076 B   ---   --   ---xx   flac  0.3575  13 Highway 61 Revisited.flac
     6:33.51       69445196 B   ---   --   ---xx   flac  0.3393  14 Like a Rolling Stone.flac
     2:55.34       30950012 B   ---   --   ---xx   flac  0.2658  15 Crowd.flac
     5:42.55       60458204 B   ---   --   ---xx   flac  0.3633  16 Thunder on the Mountain.flac
     0:52.46        9281036 B   ---   --   ---xx   flac  0.3153  17 Band Introduction.flac
     7:09.03       75682700 B   ---   --   ---xx   flac  0.3184  18 All Along the Watchtower.flac
    95:35.50     1011772392 B                            0.3242  (18 files)
