shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     4:34.36       48418316 B   ---   --   -----    wav  1.0000  Track01.wav
     6:36.08       69873260 B   ---   --   -----    wav  1.0000  Track02.wav
     6:53.37       72940268 B   ---   --   -----    wav  1.0000  Track03.wav
     4:14.50       44923244 B   ---   --   -----    wav  1.0000  Track04.wav
     9:49.59      104038412 B   ---   --   -----    wav  1.0000  Track05.wav
     6:48.12       71999468 B   ---   --   -----    wav  1.0000  Track06.wav
     7:50.21       82957436 B   ---   --   -----    wav  1.0000  Track07.wav
     6:40.62       70705868 B   ---   --   -----    wav  1.0000  Track08.wav
     7:47.41       82475276 B   ---   --   -----    wav  1.0000  Track09.wav
     5:32.45       58670684 B   ---   --   -----    wav  1.0000  Track10.wav
     9:18.10       98454764 B   ---   --   -----    wav  1.0000  Track11.wav
    76:06.06      805456996 B                            1.0000  (11 files)
