shntool 3.0.4
Copyright (C) 2000-2007 Jason Jordan <shnutils@freeshell.org>

    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     3:24.26       36046796 B   ---   --   ---xx   flac  0.6041  01 Gotta serve somebody.flac
     4:21.72       46209788 B   ---   --   ---xx   flac  0.5833  02 I believe in you.flac
     6:05.66       64541276 B   ---   --   ---xx   flac  0.5966  03 Like a rolling stone.flac
     3:19.63       35251820 B   ---   --   ---xx   flac  0.5839  04 I want you.flac
     5:37.69       59609132 B   ---   --   ---xx   flac  0.5751  05 Man gave names to all the animals.flac
     3:49.53       40520300 B   ---   --   ---xx   flac  0.5880  06 Maggie's farm.flac
     4:28.45       47381084 B   ---   --   ---xx   flac  0.5786  07 Simple twist of fate.flac
     4:53.02       51689948 B   ---   --   ---xx   flac  0.5691  08 Girl from the North Country.flac
     3:49.61       40539116 B   ---   --   ---xx   flac  0.5764  09 Ballad of a thin man.flac
     3:12.66       34024076 B   ---   --   ---xx   flac  0.5813  10 Heart of mine.flac
     3:18.67       35084828 B   ---   --   ---xx   flac  0.6089  11 All along the watchtower.flac
     2:33.68       27149180 B   ---   --   ---xx   flac  0.6171  12 I'll be your baby tonight.flac
     4:59.06       52757756 B   ---   --   ---xx   flac  0.6097  13 Forever young.flac
     3:09.10       33363164 B   ---   --   ---xx   flac  0.5955  14 Gamblin' man.flac
     5:17.43       56019980 B   ---   --   ---xx   flac  0.5959  15 The times they are a-changin'.flac
     6:24.30       67808204 B   ---   --   ---xx   flac  0.6093  16 A hard rain's a-gonna fall.flac
     4:08.68       43907180 B   ---   --   ---xx   flac  0.6100  17 Watered-down love.flac
     4:54.60       52002764 B   ---   --   ---xx   flac  0.6180  18 Shot of love.flac
     2:22.49       25164092 B   ---   --   ---xx   flac  0.6257  19 Masters of war.flac
     3:34.45       37855484 B   ---   --   ---xx   flac  0.6108  20 Just like a woman.flac
     3:54.16       41315276 B   ---   --   ---xx   flac  0.5750  21 Solid rock.flac
     4:46.08       50469260 B   ---   --   ---xx   flac  0.5838  22 Mr. Tambourine Man.flac
     3:38.38       38544620 B   ---   --   ---xx   flac  0.5790  23 It's all in the game.flac
     4:31.27       47867948 B   ---   --   ---xx   flac  0.5883  24 When you gonna wake up.flac
     6:13.45       65903084 B   ---   --   ---xx   flac  0.5859  25 In the garden.flac
   106:51.53     1131026156 B                            0.5931  (25 files)
