    length     expanded size    cdr  WAVE problems  fmt   ratio  filename
     0:11.34        2020412 B   ---   --   ---xx   flac  0.9232  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\01 Instrumental.flac
     3:40.73       38979740 B   ---   --   ---xx   flac  0.6468  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\02 Maggie's Farm.flac
     3:41.32       39059708 B   ---   --   ---xx   flac  0.6355  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\03 All Along The Watchtower.flac
     0:24.34        4313612 B   ---   --   ---xx   flac  0.7008  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\04 Just Like A Woman.flac
     3:43.32       39412508 B   ---   --   ---xx   flac  0.6222  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\05 Just Like A Woman.flac
     0:32.36        5729516 B   ---   --   ---xx   flac  0.7245  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\06 When You Gonna Wake Up.flac
     3:05.59       32772812 B   ---   --   ---xx   flac  0.6289  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\07 When You Gonna Wake Up.flac
     3:26.29       36406652 B   ---   --   ---xx   flac  0.6235  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\08 Shelter From The Storm.flac
     2:47.41       29555276 B   ---   --   ---xx   flac  0.6247  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\09 Watered-Down Love.flac
     0:17.67        3156428 B   ---   --   ---xx   flac  0.6929  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\10 Masters Of War.flac
     3:58.39       42074972 B   ---   --   ---xx   flac  0.5940  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\11 Masters Of War.flac
     4:09.31       43996556 B   ---   --   ---xx   flac  0.6072  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\12 Jokerman.flac
     1:56.29       20530652 B   ---   --   ---xx   flac  0.6197  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\13 Simple Twist Of Fate.flac
     3:28.18       36733580 B   ---   --   ---xx   flac  0.6214  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\14 Simple Twist Of Fate.flac
     0:42.65        7561724 B   ---   --   ---xx   flac  0.6210  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\15 Man Of Peace.flac
     3:35.33       38003660 B   ---   --   ---xx   flac  0.6609  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\16 Man Of Peace.flac
     3:30.29       37112252 B   ---   --   ---xx   flac  0.5860  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\17 I And I.flac
     0:34.70        6162284 B   ---   --   ---xx   flac  0.6594  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\18 It's All Over Now, Baby Blue.flac
     3:46.37       39953468 B   ---   --   ---xx   flac  0.5901  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\19 Ballad Of A Thin Man.flac
     3:58.32       42058508 B   ---   --   ---xx   flac  0.6038  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\20 Heart Of Mine.flac
     0:41.04        7241852 B   ---   --   ---xx   flac  0.6819  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\21 Highway 61 Revisited.flac
     1:03.32       11188508 B   ---   --   ---xx   flac  0.5909  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\22 Around And Around.flac
     3:32.43       37497980 B   ---   --   ---xx   flac  0.6796  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\23 Leopard-Skin Pill-Box Hat.flac
     1:42.46       18101036 B   ---   --   ---xx   flac  0.5615  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\24 Unidentified Instrumental.flac
     5:02.28       53338700 B   ---   --   ---xx   flac  0.6373  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\25 It's All Over Now, Baby Blue.flac
     1:58.26       20876396 B   ---   --   ---xx   flac  0.5816  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\26 Almost Done.flac
     0:23.25        4116044 B   ---   --   ---xx   flac  0.6817  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\27 Always On My Mind.flac
     1:54.29       20177852 B   ---   --   ---xx   flac  0.5667  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\28 Always On My Mind.flac
     2:29.34       26363612 B   ---   --   ---xx   flac  0.6143  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\29 Always On My Mind.flac
     0:16.01        2824796 B   ---   --   ---xx   flac  0.7976  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\30 Every Grain Of Sand.flac
     4:51.26       51393596 B   ---   --   ---xx   flac  0.5859  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\31 Every Grain Of Sand.flac
     0:47.08        8309660 B   ---   --   ---xx   flac  0.6015  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\32 Every Grain Of Sand.flac
     0:55.02        9706748 B   ---   --   ---xx   flac  0.5979  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 01\33 Girl From The North Country.flac
     2:45.03       29113100 B   ---   --   ---xx   flac  0.5740  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\01. (instrumental #1).flac
     0:19.17        3391628 B   ---   --   ---xx   flac  0.7325  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\02. (instrumental #2).flac
     3:27.72       36684188 B   ---   --   ---xx   flac  0.5614  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\03. (instrumental #3).flac
     2:07.67       22560428 B   ---   --   ---xx   flac  0.5408  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\04. (Vocal improvisationJam).flac
     0:47.42        8389628 B   ---   --   ---xx   flac  0.6328  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\05. (instrumental #4).flac
     1:21.43       14389580 B   ---   --   ---xx   flac  0.5729  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\06. (instrumental #5).flac
     0:43.04        7594652 B   ---   --   ---xx   flac  0.5860  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\07. (instrumental #6).flac
     1:13.01       12879596 B   ---   --   ---xx   flac  0.5165  C:\Users\WADE\Documents\Bit Torrents - Other\Bob Dylan1984-xx-xx The 1984 Rehearsals [AcidProject 104]\CD 02\08. (instrumental #7).flac
