# BUG-278 rule_d re-run — dates whose verdicts change once rule_d fires live
# generated 2026-07-27; 1994-02-16 already re-run and verified
1974-01-07  # 1 flip(s)  # done 2026-07-27T10:36:20.727751
1974-02-13  # 4 flip(s)  # done 2026-07-27T10:36:26.814993
1975-11-09  # 1 flip(s)  # done 2026-07-27T10:36:32.799769
1975-11-13  # 2 flip(s)  # done 2026-07-27T10:36:39.040691
1976-05-11  # 2 flip(s)  # done 2026-07-27T10:36:45.125210
1978-04-01  # 1 flip(s)  # done 2026-07-27T10:36:51.203155
1978-06-17  # 2 flip(s)  # done 2026-07-27T10:36:57.336711
1979-11-11  # 2 flip(s)  # done 2026-07-27T10:37:03.549385
1980-05-05  # 2 flip(s)  # done 2026-07-27T10:37:09.601774
1980-11-13  # 1 flip(s)  # done 2026-07-27T10:37:15.735020
1981-06-21  # 1 flip(s)  # done 2026-07-27T10:37:21.718262
1984-06-16  # 1 flip(s)
1984-06-28  # 4 flip(s)
1986-02-24  # 9 flip(s)
1988-08-20  # 1 flip(s)
1989-08-25  # 1 flip(s)
1990-01-31  # 1 flip(s)
1990-02-06  # 2 flip(s)
1990-07-07  # 1 flip(s)
1992-06-28  # 3 flip(s)
1993-04-19  # 2 flip(s)
1994-04-26  # 1 flip(s)
1994-07-23  # 1 flip(s)
1994-08-27  # 1 flip(s)
1995-03-12  # 4 flip(s)
1995-04-03  # 7 flip(s)
1995-05-25  # 2 flip(s)
1995-07-28  # 1 flip(s)
1995-10-02  # 2 flip(s)
1995-10-18  # 1 flip(s)
1995-10-19  # 1 flip(s)
1996-05-18  # 1 flip(s)
1996-10-26  # 2 flip(s)
1996-11-10  # 1 flip(s)
1998-01-30  # 2 flip(s)
1998-05-30  # 1 flip(s)
1998-06-04  # 1 flip(s)
1998-06-23  # 1 flip(s)
1998-11-05  # 2 flip(s)
1999-01-29  # 2 flip(s)
1999-02-06  # 3 flip(s)
1999-04-22  # 2 flip(s)
1999-04-27  # 2 flip(s)
1999-10-31  # 1 flip(s)
1999-11-09  # 1 flip(s)
2001-03-23  # 1 flip(s)
2002-04-08  # 1 flip(s)
2002-10-08  # 1 flip(s)
2003-05-09  # 1 flip(s)
2003-05-11  # 1 flip(s)
2003-07-31  # 2 flip(s)
2003-08-08  # 1 flip(s)
2003-10-23  # 1 flip(s)
2004-07-05  # 2 flip(s)
2005-04-06  # 1 flip(s)
2005-10-28  # 1 flip(s)
2005-11-07  # 2 flip(s)
2005-11-23  # 1 flip(s)
2005-11-24  # 1 flip(s)
2006-07-11  # 1 flip(s)
2006-08-26  # 1 flip(s)
2006-11-11  # 2 flip(s)
2007-04-09  # 1 flip(s)
2008-08-13  # 1 flip(s)
2009-08-15  # 3 flip(s)
2009-11-09  # 2 flip(s)
2011-04-27  # 1 flip(s)
2011-08-02  # 3 flip(s)
2011-10-16  # 1 flip(s)
2011-10-17  # 1 flip(s)
2011-10-19  # 1 flip(s)
2011-10-20  # 2 flip(s)
2012-04-30  # 1 flip(s)
2016-10-30  # 1 flip(s)
2022-10-09  # 3 flip(s)
2024-03-05  # 1 flip(s)
2024-03-18  # 3 flip(s)
2024-11-08  # 1 flip(s)
2024-11-12  # 1 flip(s)
