# TODO-324 re-check queue (BUG-330 fallout). Generated by tools/_todo324_scan.py
class	run	lb	ppm	corr	conf	commentary_says_distinct	audit_disagrees	fp_linked	sec_subthreshold	has_analysis
AT-RISK-DISAGREES	20260702_140403_1987-09-23	LB-09306	+74059	0.003	1.72	False	2	False	False	False
AT-RISK-DISAGREES	20260702_140403_1987-09-23	LB-05487	-299	0.007	1.55	False	3	False	False	False
AT-RISK-DISAGREES	20260702_140757_1989-06-20	LB-01314	-36344	0.002	2.32	False	2	False	False	False
AT-RISK-DISAGREES	20260702_140757_1989-06-20	LB-02136	+4768	0.008	1.39	False	2	False	False	False
AT-RISK-DISAGREES	20260702_140757_1989-06-20	LB-05235	-61100	0.000	3.26	False	1	False	False	False
AT-RISK-DISAGREES	20260702_140757_1989-06-20	LB-10958	-21100	0.003	3.04	False	1	False	False	False
AT-RISK-DISAGREES	20260702_140757_1989-06-20	LB-07203	-40185	0.003	1.36	False	4	False	False	False
AT-RISK-DISAGREES	20260702_144047_1990-11-10	LB-07138	-5325	0.003	1.68	False	1	False	False	True
AT-RISK-DISAGREES	20260702_145111_1990-11-13	LB-07107	-12500	0.003	3.66	False	1	False	False	True
AT-RISK-DISAGREES	20260702_145111_1990-11-13	LB-15712	+3685	0.003	2.44	False	1	False	False	True
AT-RISK-DISAGREES	20260702_145900_1992-05-02	LB-04030	-64142	0.003	4.80	False	3	False	False	True
AT-RISK-DISAGREES	20260702_150239_1993-02-16	LB-15262	+19206	0.143	3.11	False	1	False	False	True
AT-RISK-DISAGREES	20260702_150239_1993-02-16	LB-06844	+18000	0.143	2.20	False	1	False	False	True
AT-RISK-DISAGREES	20260702_160403_1994-04-28	LB-06863	+47800	0.004	5.36	False	4	False	False	True
AT-RISK-DISAGREES	20260702_161027_1989-06-04	LB-06445	-29073	0.005	1.77	False	3	False	False	True
AT-RISK-DISAGREES	20260702_161027_1989-06-04	LB-02478	+33667	0.005	1.82	False	4	False	False	True
AT-RISK-DISAGREES	20260702_161537_1994-07-04	LB-09926	-5562	0.008	3.06	False	1	False	False	False
AT-RISK-DISAGREES	20260702_162857_1990-10-26	LB-00103	+3200	0.002	2.23	False	2	False	False	False
AT-RISK-DISAGREES	20260702_162857_1990-10-26	LB-00904	+77551	0.002	1.28	False	3	False	False	False
AT-RISK-DISAGREES	20260702_162857_1990-10-26	LB-13426	+58061	0.002	2.47	False	3	False	False	False
AT-RISK-DISAGREES	20260702_162857_1990-10-26	LB-06348	+24300	0.002	1.55	False	1	False	False	False
AT-RISK-DISAGREES	20260702_162857_1990-10-26	LB-12073	+19109	0.004	2.39	False	2	False	False	False
AT-RISK-DISAGREES	20260702_163635_1991-06-11	LB-06821	-4500	0.003	2.43	False	2	False	False	False
AT-RISK-DISAGREES	20260702_163635_1991-06-11	LB-03676	+13332	0.004	1.63	False	2	False	False	False
AT-RISK-DISAGREES	20260702_164350_1991-11-05	LB-12544	+12639	0.004	2.01	False	3	False	False	True
AT-RISK-DISAGREES	20260702_164350_1991-11-05	LB-06828	-12000	0.003	2.30	False	2	False	False	True
AT-RISK-DISAGREES	20260702_164920_1989-05-27	LB-02468	+40162	0.003	2.49	False	4	False	False	False
AT-RISK-DISAGREES	20260702_165316_1989-10-31	LB-02341	-4451	0.012	2.65	False	3	False	False	False
AT-RISK-DISAGREES	20260702_165316_1989-10-31	LB-04682	-54601	0.006	5.19	False	3	False	False	False
AT-RISK-DISAGREES	20260702_165316_1989-10-31	LB-05461	-4389	0.008	2.27	False	3	False	False	False
AT-RISK-DISAGREES	20260702_165631_1988-07-08	LB-14669	+23299	0.005	3.64	False	4	False	False	True
AT-RISK-DISAGREES	20260702_170020_1989-06-07	LB-01301	-3880	0.030	4.20	False	1	False	False	False
AT-RISK-DISAGREES	20260702_170020_1989-06-07	LB-07250	-44353	0.003	1.56	False	3	False	False	False
AT-RISK-DISAGREES	20260702_171136_1994-07-04	LB-09926	-5562	0.008	3.06	False	1	False	False	False
AT-RISK-DISAGREES	20260702_221628_1994-07-04	LB-09926	-5562	0.008	3.06	False	1	False	False	False
AT-RISK-DISAGREES	20260702_224438_1996-11-04	LB-01062	+40600	0.003	1.24	False	4	False	False	False
AT-RISK-DISAGREES	20260702_230709_1990-11-08	LB-00422	-1530	0.003	1.80	False	1	False	False	True
AT-RISK-DISAGREES	20260702_233131_1994-04-28	LB-06863	+47800	0.004	5.36	False	4	False	False	True
AT-RISK-DISAGREES	20260703_001434_1989-06-04	LB-06445	-29073	0.005	1.77	False	3	False	False	True
AT-RISK-DISAGREES	20260703_001434_1989-06-04	LB-02478	+33667	0.005	1.82	False	4	False	False	True
AT-RISK-DISAGREES	20260703_213101_1989-06-04	LB-06445	-29073	0.005	1.77	False	3	False	False	True
AT-RISK-DISAGREES	20260703_213101_1989-06-04	LB-02478	+33667	0.005	1.82	False	4	False	False	True
AT-RISK-DISAGREES	20260709_155211_1995-06-15	LB-11797	-10571	0.006	2.36	False	1	False	False	True
AT-RISK-DISAGREES	20260709_170106_1995-07-01	LB-05507	-17887	0.002	3.31	False	1	False	False	False
AT-RISK-DISAGREES	20260709_171001_1995-07-03	LB-11803	+12047	0.005	1.51	False	2	False	False	False
AT-RISK-DISAGREES	20260709_175717_1995-07-24	LB-06890	-3300	0.004	2.08	False	1	False	False	True
AT-RISK-DISAGREES	20260709_180504_1995-07-27	LB-09596	-58300	0.003	5.19	False	1	False	False	True
AT-RISK-DISAGREES	20260709_180905_1995-07-28	LB-07285	-424	0.028	3.81	False	1	False	False	True
AT-RISK-DISAGREES	20260709_181039_1995-07-30	LB-15222	+22490	0.027	1.34	False	2	False	False	True
AT-RISK-DISAGREES	20260709_181552_1995-09-02	LB-11835	+41600	0.002	1.17	False	1	False	False	True
AT-RISK-DISAGREES	20260709_182614_1995-09-29	LB-04988	+10330	0.004	1.38	False	1	False	False	True
AT-RISK-DISAGREES	20260709_183233_1995-10-02	LB-07440	+2140	0.074	3.19	False	2	False	False	False
AT-RISK-DISAGREES	20260709_183718_1995-10-06	LB-04802	-27299	0.003	2.33	False	1	False	False	True
AT-RISK-DISAGREES	20260709_184842_1995-10-11	LB-14157	+2962	0.028	1.29	False	2	False	False	False
AT-RISK-DISAGREES	20260709_185947_1995-10-16	LB-02607	+12002	0.128	2.72	False	1	False	False	False
AT-RISK-DISAGREES	20260709_190306_1995-10-18	LB-00824	+22183	0.003	2.21	False	1	False	False	True
AT-RISK-DISAGREES	20260709_190306_1995-10-18	LB-03547	+632	0.055	4.03	False	2	False	False	True
AT-RISK-DISAGREES	20260709_193216_1995-10-29	LB-06215	-27585	0.006	2.52	False	2	False	False	True
AT-RISK-DISAGREES	20260709_195349_1995-11-07	LB-00799	+15292	0.010	2.24	False	1	False	False	True
AT-RISK-DISAGREES	20260709_195349_1995-11-07	LB-06969	-8930	0.004	2.81	False	2	False	False	True
AT-RISK-DISAGREES	20260709_201727_1995-12-08	LB-15425	-18906	0.085	2.76	False	2	False	False	True
AT-RISK-DISAGREES	20260709_203003_1995-12-10	LB-14298	+60000	0.003	4.50	False	1	False	False	True
AT-RISK-DISAGREES	20260709_203003_1995-12-10	LB-06089	-16912	0.034	1.95	False	1	False	False	True
AT-RISK-DISAGREES	20260709_204249_1995-12-13	LB-01050	-500	0.004	2.78	False	1	False	False	True
AT-RISK-DISAGREES	20260709_213409_1997-04-08	LB-06912	+2500	0.007	1.43	False	1	False	False	True
AT-RISK-DISAGREES	20260709_213856_1997-04-10	LB-02906	+14222	0.003	2.25	False	1	False	False	True
AT-RISK-DISAGREES	20260709_214824_1997-04-12	LB-12554	+21853	0.005	2.53	False	1	False	False	True
AT-RISK-DISAGREES	20260709_223348_1997-04-25	LB-02885	+52470	0.002	1.86	False	1	False	False	True
AT-RISK-DISAGREES	20260709_230227_1997-08-04	LB-04785	+29388	0.003	2.32	False	1	False	False	False
AT-RISK-DISAGREES	20260709_231238_1997-08-07	LB-06914	-3000	0.005	1.82	False	1	False	False	True
AT-RISK-DISAGREES	20260709_231838_1997-08-08	LB-15604	+61500	0.006	2.53	False	1	False	False	False
AT-RISK-DISAGREES	20260710_004542_1997-08-28	LB-00142	+28787	0.006	1.80	False	1	False	False	False
AT-RISK-DISAGREES	20260710_004820_1997-08-29	LB-04245	+65304	0.006	5.85	False	1	False	False	True
AT-RISK-DISAGREES	20260710_021334_1997-11-08	LB-15213	-9407	0.021	1.94	False	1	False	False	True
AT-RISK-DISAGREES	20260710_023042_1997-11-14	LB-06225	+61122	0.006	3.35	False	1	False	False	True
AT-RISK-DISAGREES	20260710_040646_1997-12-18	LB-08980	+11179	0.005	2.46	False	1	False	False	True
AT-RISK-DISAGREES	20260710_051241_1998-07-01	LB-02057	+3833	0.011	2.42	False	1	False	False	True
AT-RISK-DISAGREES	20260710_052120_1998-07-04	LB-04381	+8543	0.119	4.65	False	3	False	False	False
AT-RISK-DISAGREES	20260710_052120_1998-07-04	LB-06450	+6694	0.119	1.86	False	1	False	False	False
AT-RISK-DISAGREES	20260710_054254_1998-07-11	LB-08579	-39623	0.012	2.43	False	1	False	False	True
AT-RISK-DISAGREES	20260710_054845_1998-08-19	LB-02539	-22557	0.008	2.76	False	1	False	False	True
AT-RISK-DISAGREES	20260710_055841_1998-09-01	LB-05110	+18300	0.005	1.13	False	1	False	False	False
AT-RISK-DISAGREES	20260710_065108_1998-10-29	LB-14900	-31661	0.003	2.06	False	1	False	False	False
AT-RISK-DISAGREES	20260710_065108_1998-10-29	LB-02996	+48800	0.004	1.25	False	1	False	False	False
AT-RISK-DISAGREES	20260710_071451_1999-01-28	LB-09136	+62372	0.006	3.42	False	1	False	False	True
AT-RISK-DISAGREES	20260710_074512_1999-02-07	LB-06331	+12537	0.105	2.13	False	1	False	False	False
AT-RISK-DISAGREES	20260710_075316_1999-02-13	LB-13587	+13902	0.011	1.55	False	1	False	False	True
AT-RISK-DISAGREES	20260710_075633_1999-02-14	LB-10183	-10562	0.003	1.76	False	1	False	False	True
AT-RISK-DISAGREES	20260710_082105_1999-02-24	LB-04457	+8565	0.006	3.66	False	1	False	False	False
AT-RISK-DISAGREES	20260710_084044_1999-04-08	LB-00021	+20840	0.008	1.65	False	2	False	False	True
AT-RISK-DISAGREES	20260710_084044_1999-04-08	LB-04659	+33455	0.008	1.41	False	1	False	False	True
AT-RISK-DISAGREES	20260710_084044_1999-04-08	LB-11234	-43513	0.004	2.56	False	1	False	False	True
AT-RISK-DISAGREES	20260710_090415_1999-04-13	LB-06420	-5864	0.012	2.01	False	1	False	False	True
AT-RISK-DISAGREES	20260710_091010_1999-04-14	LB-06407	-368	0.051	3.39	False	1	False	False	True
AT-RISK-DISAGREES	20260710_092210_1999-04-17	LB-06401	-2077	0.016	2.14	False	2	False	False	True
AT-RISK-DISAGREES	20260710_093018_1999-04-19	LB-01880	-2333	0.006	2.23	False	3	False	False	True
AT-RISK-DISAGREES	20260710_093018_1999-04-19	LB-06413	-315	0.021	3.69	False	5	False	False	True
AT-RISK-DISAGREES	20260710_093812_1999-04-21	LB-01890	+20756	0.009	2.74	False	1	False	False	False
AT-RISK-DISAGREES	20260710_094303_1999-04-22	LB-01893	+26697	0.007	3.49	False	1	False	False	False
AT-RISK-DISAGREES	20260710_094303_1999-04-22	LB-09200	+2500	0.006	2.00	False	1	False	False	False
AT-RISK-DISAGREES	20260710_095354_1999-04-23	LB-10186	-4130	0.006	2.13	False	1	False	False	True
AT-RISK-DISAGREES	20260710_095354_1999-04-23	LB-00022	-12788	0.004	1.95	False	1	False	False	True
AT-RISK-DISAGREES	20260710_095354_1999-04-23	LB-10330	+34800	0.004	2.57	False	1	False	False	True
AT-RISK-DISAGREES	20260710_103135_1999-05-01	LB-00064	+6524	0.013	2.33	False	1	False	False	False
AT-RISK-DISAGREES	20260710_110840_1999-06-11	LB-00301	+60200	0.010	1.33	False	1	False	False	True
AT-RISK-DISAGREES	20260710_111956_1999-06-13	LB-12997	+67721	0.004	1.55	False	1	False	False	True
AT-RISK-DISAGREES	20260710_114846_1999-06-16	LB-14208	+60400	0.003	1.86	False	1	False	False	True
AT-RISK-DISAGREES	20260710_120943_1999-06-22	LB-01767	-22022	0.006	1.65	False	1	False	False	True
AT-RISK-DISAGREES	20260710_121805_1999-07-03	LB-03531	+23870	0.006	2.15	False	3	False	False	False
AT-RISK-DISAGREES	20260710_124055_1999-07-11	LB-05044	+35200	0.010	1.02	False	1	False	False	True
AT-RISK-DISAGREES	20260710_124714_1999-07-14	LB-04374	+13414	0.002	1.63	False	1	False	False	True
AT-RISK-DISAGREES	20260710_130701_1999-07-22	LB-00085	-26790	0.003	2.61	False	1	False	False	True
AT-RISK-DISAGREES	20260710_130701_1999-07-22	LB-05731	+34219	0.002	1.96	False	1	False	False	True
AT-RISK-DISAGREES	20260710_132930_1999-09-02	LB-07827	+30034	0.012	2.23	False	1	False	False	True
AT-RISK-DISAGREES	20260710_135246_1999-09-09	LB-05073	-17684	0.004	1.63	False	2	False	False	True
AT-RISK-DISAGREES	20260710_143114_1999-10-29	LB-01464	+42383	0.007	3.12	False	2	False	False	True
AT-RISK-DISAGREES	20260710_150821_1999-11-08	LB-11694	-40027	0.006	2.22	False	1	False	False	True
AT-RISK-DISAGREES	20260710_161814_1999-11-17	LB-12869	-9682	0.087	2.28	False	2	False	False	True
AT-RISK-DISAGREES	20260710_170233_2000-03-10	LB-02912	+58100	0.018	1.11	False	2	False	False	False
AT-RISK-DISAGREES	20260710_170233_2000-03-10	LB-04380	-2400	0.005	2.61	False	1	False	False	False
AT-RISK-DISAGREES	20260710_210434_2000-03-25	LB-10255	-57681	0.009	1.85	False	1	False	False	False
AT-RISK-DISAGREES	20260710_211123_2000-03-27	LB-07980	-24449	0.003	3.25	False	1	False	False	True
AT-RISK-DISAGREES	20260710_225600_2000-05-24	LB-05713	+76451	0.020	2.02	False	2	False	False	True
AT-RISK-DISAGREES	20260711_003905_2000-06-29	LB-06929	+16641	0.009	2.82	False	1	False	False	True
AT-RISK-DISAGREES	20260711_003905_2000-06-29	LB-03937	+13542	0.009	1.50	False	1	False	False	True
AT-RISK-DISAGREES	20260711_004213_2000-06-30	LB-06734	+26788	0.004	1.36	False	1	False	False	True
AT-RISK-DISAGREES	20260711_013644_2000-07-23	LB-11399	-10410	0.037	2.05	False	3	False	False	True
AT-RISK-DISAGREES	20260711_020423_2000-07-30	LB-00003	+31200	0.006	1.02	False	1	False	False	True
AT-RISK-DISAGREES	20260711_020423_2000-07-30	LB-03256	+10098	0.030	2.13	False	1	False	False	True
AT-RISK-DISAGREES	20260711_034129_2000-10-01	LB-01553	-7800	0.008	1.09	False	1	False	False	True
AT-RISK-DISAGREES	20260711_034129_2000-10-01	LB-04476	-7600	0.005	1.26	False	1	False	False	True
AT-RISK-DISAGREES	20260711_043328_2000-11-02	LB-07120	-4635	0.016	1.75	False	1	False	False	True
AT-RISK-DISAGREES	20260711_045558_2000-11-13	LB-07219	-4069	0.009	2.32	False	1	False	False	True
AT-RISK-DISAGREES	20260711_052727_2002-02-01	LB-13147	-50968	0.013	1.49	False	1	False	False	False
AT-RISK-DISAGREES	20260711_052727_2002-02-01	LB-01611	-25222	0.012	1.78	False	1	False	False	False
AT-RISK-DISAGREES	20260711_063940_2002-02-22	LB-08769	-52773	0.042	3.78	False	1	False	False	True
AT-RISK-DISAGREES	20260711_063940_2002-02-22	LB-10848	-9054	0.013	1.36	False	1	False	False	True
AT-RISK-DISAGREES	20260711_063940_2002-02-22	LB-00317	-9648	0.028	1.93	False	1	False	False	True
AT-RISK-DISAGREES	20260711_074555_2002-04-11	LB-02895	-23352	0.026	2.12	False	1	False	False	False
AT-RISK-DISAGREES	20260711_085231_2002-04-16	LB-12077	-21406	0.004	2.17	False	1	False	False	True
AT-RISK-DISAGREES	20260711_095456_2002-04-24	LB-00266	+59900	0.007	1.03	False	1	False	False	True
AT-RISK-DISAGREES	20260711_095456_2002-04-24	LB-02055	+42087	0.012	3.01	False	1	False	False	True
AT-RISK-DISAGREES	20260711_111413_2002-04-30	LB-00282	-15275	0.012	1.73	False	2	False	False	True
AT-RISK-DISAGREES	20260711_111413_2002-04-30	LB-06075	-18613	0.017	1.31	False	3	False	False	True
AT-RISK-DISAGREES	20260711_113621_2002-05-04	LB-00251	-73819	0.007	1.69	False	1	False	False	False
AT-RISK-DISAGREES	20260711_113621_2002-05-04	LB-04980	-43221	0.004	2.90	False	2	False	False	False
AT-RISK-DISAGREES	20260711_120101_2002-05-06	LB-00844	+1434	0.004	4.14	False	2	False	False	False
AT-RISK-DISAGREES	20260711_120101_2002-05-06	LB-09413	+9377	0.014	1.36	False	1	False	False	False
AT-RISK-DISAGREES	20260711_123241_2002-05-10	LB-05244	+24542	0.011	1.48	False	1	False	False	True
AT-RISK-DISAGREES	20260711_133955_2002-08-06	LB-00086	+25400	0.005	1.54	False	2	False	False	True
AT-RISK-DISAGREES	20260711_145920_2002-09-01	LB-00642	-30197	0.118	1.28	False	1	False	False	True
AT-RISK-DISAGREES	20260711_162348_2002-10-12	LB-08563	+41630	0.004	2.10	False	1	False	False	True
AT-RISK-DISAGREES	20260711_162348_2002-10-12	LB-07270	+38732	0.004	2.12	False	1	False	False	True
AT-RISK-DISAGREES	20260711_165651_2002-10-13	LB-00701	-19284	0.065	3.68	False	1	False	False	True
AT-RISK-DISAGREES	20260711_174039_2002-10-19	LB-05933	-8200	0.012	2.20	False	1	False	False	True
AT-RISK-DISAGREES	20260712_194543_2002-11-21	LB-00802	+21738	0.006	1.85	False	1	False	False	False
AT-RISK-DISAGREES	20260712_194543_2002-11-21	LB-08391	-59764	0.006	1.94	False	1	False	False	False
AT-RISK-DISAGREES	20260712_202040_2003-02-13	LB-00945	+55464	0.006	2.48	False	1	False	False	True
AT-RISK-DISAGREES	20260712_202040_2003-02-13	LB-09434	+75406	0.024	3.40	False	1	False	False	True
AT-RISK-DISAGREES	20260713_171415_2003-08-03	LB-01787	+61100	0.012	5.37	False	1	False	False	True
AT-RISK-DISAGREES	20260713_171415_2003-08-03	LB-10349	+76108	0.102	4.42	False	1	False	False	True
AT-RISK-DISAGREES	20260713_180942_2003-08-10	LB-12956	+41384	0.005	3.24	False	1	False	False	True
AT-RISK-DISAGREES	20260713_192203_2003-10-04	LB-11948	+41000	0.003	1.55	False	1	False	False	True
AT-RISK-DISAGREES	20260713_210053_2003-10-22	LB-01275	-6860	0.004	2.43	False	1	False	False	True
AT-RISK-DISAGREES	20260713_210053_2003-10-22	LB-01525	-2889	0.037	1.42	False	1	False	False	True
AT-RISK-DISAGREES	20260713_211145_2003-10-23	LB-10122	+354	0.026	3.67	False	1	False	False	False
AT-RISK-DISAGREES	20260713_211757_2003-10-24	LB-10124	+391	0.056	3.59	False	1	False	False	False
AT-RISK-DISAGREES	20260713_214940_2003-11-02	LB-01427	-371	0.040	4.01	False	1	False	False	True
AT-RISK-DISAGREES	20260713_232945_2003-11-24	LB-01548	-28048	0.016	2.22	False	1	False	False	True
AT-RISK-DISAGREES	20260714_004509_2004-03-15	LB-01750	-34646	0.004	1.48	False	1	False	False	True
AT-RISK-DISAGREES	20260714_024628_2004-06-04	LB-01790	+20836	0.073	1.42	False	1	False	False	True
AT-RISK-DISAGREES	20260714_060600_2004-07-15	LB-05544	+13926	0.006	1.98	False	1	False	False	True
AT-RISK-DISAGREES	20260714_060600_2004-07-15	LB-02050	+7067	0.006	2.24	False	1	False	False	True
AT-RISK-DISAGREES	20260714_104958_2004-11-18	LB-09669	+4848	0.044	3.86	False	1	False	False	True
AT-RISK-DISAGREES	20260714_134927_2005-05-26	LB-13528	-32107	0.098	4.29	False	3	False	False	True
AT-RISK-DISAGREES	20260714_134927_2005-05-26	LB-02832	-32106	0.051	3.40	False	1	False	False	True
AT-RISK-DISAGREES	20260714_145129_2005-07-06	LB-06140	+29000	0.004	2.79	False	1	False	False	True
AT-RISK-DISAGREES	20260714_153654_2005-10-26	LB-03545	-3253	0.156	5.91	False	1	False	False	True
AT-RISK-DISAGREES	20260714_154749_2005-10-28	LB-03374	-313	0.048	3.37	False	1	False	False	True
AT-RISK-DISAGREES	20260714_161115_2005-11-01	LB-10238	+5596	0.110	2.23	False	1	False	False	True
AT-RISK-DISAGREES	20260714_161115_2005-11-01	LB-03378	+5044	0.034	1.19	False	1	False	False	True
AT-RISK-DISAGREES	20260714_162132_2005-11-03	LB-10239	-72103	0.072	2.53	False	1	False	False	False
AT-RISK-DISAGREES	20260714_162132_2005-11-03	LB-03379	-69194	0.072	2.02	False	1	False	False	False
AT-RISK-DISAGREES	20260714_163155_2005-11-07	LB-03363	+347	0.047	4.63	False	1	False	False	False
AT-RISK-DISAGREES	20260714_185620_2006-07-04	LB-03892	+264	0.016	5.37	False	1	False	False	True
AT-RISK-DISAGREES	20260715_002309_2007-05-03	LB-05017	-65969	0.063	1.84	False	3	False	False	True
AT-RISK-DISAGREES	20260715_002309_2007-05-03	LB-04939	-1409	0.143	2.14	False	1	False	False	True
AT-RISK-DISAGREES	20260715_013456_2007-07-24	LB-08195	+9909	0.010	2.31	False	1	False	False	True
AT-RISK-DISAGREES	20260715_052011_2008-07-04	LB-06405	+37249	0.002	1.82	False	1	False	False	True
AT-RISK-DISAGREES	20260715_124845_2009-10-13	LB-08067	+2130	0.023	2.22	False	1	False	False	True
AT-RISK-DISAGREES	20260715_124845_2009-10-13	LB-08109	+51292	0.029	3.09	False	1	False	False	True
AT-RISK-DISAGREES	20260716_230113_1989-06-04	LB-06445	-29073	0.005	1.77	False	3	False	False	True
AT-RISK-DISAGREES	20260716_230113_1989-06-04	LB-02478	+33667	0.005	1.82	False	4	False	False	True
AT-RISK-DISAGREES	20260716_231946_1989-06-04	LB-06445	-29073	0.005	1.77	False	3	False	False	True
AT-RISK-DISAGREES	20260716_231946_1989-06-04	LB-02478	+33667	0.005	1.82	False	4	False	False	True
AT-RISK-DISAGREES	20260716_233028_1989-06-04	LB-06445	-29073	0.005	1.77	False	3	False	False	True
AT-RISK-DISAGREES	20260716_233028_1989-06-04	LB-02478	+33667	0.005	1.82	False	4	False	False	True
